Rank,City,State,Population,County,2020 land area,,2020 population density,,Location,
162,Paterson,New Jersey,"159,732",Passaic,0.0926,8.4 sq mi,21.8 km2,"19,016/sq mi","7,342/km2",40.91°N 74.16°W
163,Alexandria,Virginia,"159,467",Alexandria,0.1393,14.9 sq mi,38.6 km2,"10,702/sq mi","4,132/km2",38.82°N 77.08°W
164,Macon,Georgia,"157,346",Bibb,0.7224,249.4 sq mi,645.9 km2,631/sq mi,244/km2,32.80°N 83.69°W
165,Corona,California,"157,136",Riverside,0.0313,39.9 sq mi,103.3 km2,"3,938/sq mi","1,520/km2",33.86°N 117.56°W
166,Kansas City,Kansas,"156,607",Wyandotte,0.0742,124.7 sq mi,323.0 km2,"1,256/sq mi",485/km2,39.12°N 94.74°W
167,Lakewood,Colorado,"155,984",Jefferson,0.0909,43.5 sq mi,112.7 km2,"3,586/sq mi","1,385/km2",39.69°N 105.11°W
168,Springfield,Massachusetts,"155,929",Hampden,0.0187,31.9 sq mi,82.6 km2,"4,888/sq mi","1,887/km2",42.11°N 72.54°W
169,Sunnyvale,California,"155,805",Santa Clara,0.1122,22.1 sq mi,57.2 km2,"7,050/sq mi","2,720/km2",37.38°N 122.02°W
170,Jackson,Mississippi,"153,701",Hinds,-11.42%,111.7 sq mi,289.3 km2,"1,376/sq mi",531/km2,32.31°N 90.21°W
171,Killeen,Texas,"153,095",Bell,0.1968,54.8 sq mi,141.9 km2,"2,794/sq mi","1,079/km2",31.07°N 97.73°W
172,Hollywood,Florida,"153,067",Los Angeles,0.0874,27.3 sq mi,70.7 km2,"5,607/sq mi","2,165/km2",26.03°N 80.16°W
173,Murfreesboro,Tennessee,"152,769",Rutherford,0.4047,62.9 sq mi,162.9 km2,"2,429/sq mi",938/km2,35.85°N 86.41°W
174,Pasadena,Texas,"151,950",Harris,0.0195,43.7 sq mi,113.2 km2,"3,477/sq mi","1,342/km2",29.65°N 95.15°W
175,Bellevue,Washington,"151,854",King,0.241,33.5 sq mi,86.8 km2,"4,533/sq mi","1,750/km2",47.59°N 122.15°W
176,Pomona,California,"151,713",Los Angeles,0.0178,23.0 sq mi,59.6 km2,"6,596/sq mi","2,547/km2",34.05°N 117.76°W
177,Escondido,California,"151,038",San Diego,0.0495,37.3 sq mi,96.6 km2,"4,049/sq mi","1,563/km2",33.13°N 117.07°W
178,Joliet,Illinois,"150,362",Will,0.0199,64.5 sq mi,167.1 km2,"2,331/sq mi",900/km2,41.51°N 88.14°W
179,Charleston,South Carolina,"150,227",Charleston,0.251,114.8 sq mi,297.3 km2,"1,309/sq mi",505/km2,32.81°N 79.95°W
180,Mesquite,Texas,"150,108",Clark,0.0735,48.5 sq mi,125.6 km2,"3,095/sq mi","1,195/km2",32.76°N 96.58°W
181,Naperville,Illinois,"149,540",Naperville,0.0542,39.1 sq mi,101.3 km2,"3,825/sq mi","1,477/km2",41.74°N 88.16°W
182,Rockford,Illinois,"148,655",Winnebago,-2.76%,64.5 sq mi,167.1 km2,"2,305/sq mi",890/km2,42.25°N 89.06°W
183,Bridgeport,Connecticut,"148,654",Fairfield,0.0307,16.1 sq mi,41.7 km2,"9,233/sq mi","3,565/km2",41.18°N 73.19°W
184,Syracuse,New York,"148,620",Onondaga,0.0238,25.1 sq mi,65.0 km2,"5,921/sq mi","2,286/km2",43.04°N 76.14°W
185,Savannah,Georgia,"147,780",Chatham,0.0843,106.8 sq mi,276.6 km2,"1,384/sq mi",534/km2,32.00°N 81.15°W
186,Roseville,California,"147,773",Placer,0.244,44.1 sq mi,114.2 km2,"3,351/sq mi","1,294/km2",38.76°N 121.31°W
187,Torrance,California,"147,067",Los Angeles,0.0112,20.5 sq mi,53.1 km2,"7,174/sq mi","2,770/km2",33.83°N 118.34°W
188,Fullerton,California,"143,617",Orange,0.0626,22.4 sq mi,58.0 km2,"6,411/sq mi","2,475/km2",33.88°N 117.92°W
189,Surprise,Arizona,"143,148",Maricopa,0.2181,110.3 sq mi,285.7 km2,"1,298/sq mi",501/km2,33.67°N 112.45°W
190,McAllen,Texas,"142,210",Hidalgo,0.095,62.3 sq mi,161.4 km2,"2,283/sq mi",881/km2,26.23°N 98.24°W
191,Thornton,Colorado,"141,867",Adams,0.1944,35.9 sq mi,93.0 km2,"3,952/sq mi","1,526/km2",39.91°N 104.94°W
192,Visalia,California,"141,384",Tulare,0.1361,37.9 sq mi,98.2 km2,"3,730/sq mi","1,440/km2",36.32°N 119.32°W
193,Olathe,Kansas,"141,290",Johnson,0.1225,61.9 sq mi,160.3 km2,"2,283/sq mi",881/km2,38.88°N 94.81°W
194,Gainesville,Florida,"141,085",Alachua,0.1345,63.2 sq mi,163.7 km2,"2,232/sq mi",862/km2,29.67°N 82.34°W
195,West Valley City,Utah,"140,230",Salt Lake,0.083,35.8 sq mi,92.7 km2,"3,917/sq mi","1,512/km2",40.68°N 112.01°W
196,Orange,California,"139,911",Orange,0.0256,25.7 sq mi,66.6 km2,"5,444/sq mi","2,102/km2",33.78°N 117.86°W
197,Denton,Texas,"139,869",Denton,0.2336,96.4 sq mi,249.7 km2,"1,451/sq mi",560/km2,33.21°N 97.14°W
198,Warren,Michigan,"139,387",Huntington,0.0398,34.4 sq mi,89.1 km2,"4,052/sq mi","1,564/km2",42.49°N 83.02°W
199,Pasadena,California,"138,699",Los Angeles,0.0115,23.0 sq mi,59.6 km2,"6,030/sq mi","2,330/km2",34.16°N 118.13°W
200,Waco,Texas,"138,486",McLennan,0.1096,88.7 sq mi,229.7 km2,"1,561/sq mi",603/km2,31.56°N 97.18°W
201,Cedar Rapids,Iowa,"137,710",Linn,0.0901,72.1 sq mi,186.7 km2,"1,910/sq mi",740/km2,41.96°N 91.67°W
202,Dayton,Ohio,"137,644",Montgomery,-2.74%,55.8 sq mi,144.5 km2,"2,467/sq mi",953/km2,39.77°N 84.19°W
203,Elizabeth,New Jersey,"137,298",Union,0.0987,12.3 sq mi,31.9 km2,"11,162/sq mi","4,310/km2",40.66°N 74.19°W
204,Hampton,Virginia,"137,148",Henry,-0.21%,51.5 sq mi,133.4 km2,"2,663/sq mi","1,028/km2",37.04°N 76.29°W
205,Columbia,South Carolina,"136,632",Richland,0.0569,136.8 sq mi,354.3 km2,999/sq mi,386/km2,34.02°N 80.89°W
206,Kent,Washington,"136,588",King,0.478,33.8 sq mi,87.5 km2,"4,041/sq mi","1,560/km2",47.38°N 122.21°W
207,Stamford,Connecticut,"135,470",Fairfield,0.1046,37.6 sq mi,97.4 km2,"3,603/sq mi","1,391/km2",41.07°N 73.54°W
208,Lakewood,New Jersey,"135,158",Jefferson,0.4558,24.7 sq mi,64.0 km2,"5,472/sq mi","2,113/km2",40.08°N 74.21°W
209,Victorville,California,"134,810",San Bernardino,0.1631,73.7 sq mi,190.9 km2,"1,829/sq mi",706/km2,34.52°N 117.35°W
210,Miramar,Florida,"134,721",Broward,0.1039,28.9 sq mi,74.9 km2,"4,662/sq mi","1,800/km2",25.97°N 80.33°W
211,Coral Springs,Florida,"134,394",Broward,0.1098,22.9 sq mi,59.3 km2,"5,869/sq mi","2,266/km2",26.27°N 80.25°W
212,Sterling Heights,Michigan,"134,346",Macomb,0.0358,36.4 sq mi,94.3 km2,"3,691/sq mi","1,425/km2",42.58°N 83.03°W
213,New Haven,Connecticut,"134,023",New Haven,0.0327,18.7 sq mi,48.4 km2,"7,167/sq mi","2,767/km2",41.31°N 72.92°W
214,Carrollton,Texas,"133,434",Carroll,0.1204,36.7 sq mi,95.1 km2,"3,636/sq mi","1,404/km2",32.98°N 96.89°W
215,Midland,Texas,"132,524",Midland,0.1923,75.5 sq mi,195.5 km2,"1,755/sq mi",678/km2,32.02°N 102.11°W
216,Norman,Oklahoma,"128,026",Cleveland,0.1542,178.8 sq mi,463.1 km2,716/sq mi,276/km2,35.24°N 97.34°W
217,Santa Clara,California,"127,647",Santa Clara,0.096,18.3 sq mi,47.4 km2,"6,975/sq mi","2,693/km2",37.36°N 121.96°W
218,Athens,Georgia,"127,315",Clarke,0.1028,116.3 sq mi,301.2 km2,"1,095/sq mi",423/km2,33.94°N 83.37°W
219,Thousand Oaks,California,"126,966",Ventura,0.0022,55.3 sq mi,143.2 km2,"2,296/sq mi",886/km2,34.19°N 118.87°W
220,Topeka,Kansas,"126,587",Shawnee,-0.70%,61.4 sq mi,159.0 km2,"2,062/sq mi",796/km2,39.03°N 95.69°W
221,Simi Valley,California,"126,356",Los Angeles,0.0171,41.5 sq mi,107.5 km2,"3,045/sq mi","1,176/km2",34.26°N 118.74°W
222,Columbia,Missouri,"126,254",Richland,0.1636,66.5 sq mi,172.2 km2,"1,899/sq mi",733/km2,38.95°N 92.32°W
223,Vallejo,California,"126,090",Solano,0.0875,30.4 sq mi,78.7 km2,"4,148/sq mi","1,602/km2",38.10°N 122.26°W
224,Fargo,North Dakota,"125,990",Cass,0.1937,49.8 sq mi,129.0 km2,"2,530/sq mi",980/km2,46.86°N 96.82°W
225,Allentown,Pennsylvania,"125,845",Lehigh,0.0662,17.6 sq mi,45.6 km2,"7,150/sq mi","2,760/km2",40.59°N 75.47°W
226,Pearland,Texas,"125,828",Pearland,0.3789,48.7 sq mi,126.1 km2,"2,584/sq mi",998/km2,29.55°N 95.32°W
227,Concord,California,"125,410",Middlesex,0.0274,30.6 sq mi,79.3 km2,"4,098/sq mi","1,582/km2",37.97°N 122.00°W
228,Abilene,Texas,"125,182",Abilene,0.0694,106.7 sq mi,276.4 km2,"1,173/sq mi",453/km2,32.45°N 99.73°W
229,Arvada,Colorado,"124,402",Arvada,0.1688,38.9 sq mi,100.8 km2,"3,198/sq mi","1,235/km2",39.83°N 105.15°W
230,Berkeley,California,"124,321",Alameda,0.1043,10.4 sq mi,26.9 km2,"11,954/sq mi","4,615/km2",37.86°N 122.29°W
231,Ann Arbor,Michigan,"123,851",Washtenaw,0.087,28.2 sq mi,73.0 km2,"4,392/sq mi","1,696/km2",42.27°N 83.73°W
232,Independence,Missouri,"123,011",Jackson,0.0529,78.0 sq mi,202.0 km2,"1,577/sq mi",609/km2,39.08°N 94.35°W
233,Rochester,Minnesota,"121,395",Olmsted,0.137,55.5 sq mi,143.7 km2,"2,187/sq mi",844/km2,44.01°N 92.47°W
234,Lafayette,Louisiana,"121,374",Lafayette,0.0062,55.8 sq mi,144.5 km2,"2,175/sq mi",840/km2,30.20°N 92.02°W
235,Hartford,Connecticut,"121,054",Hartford,-2.98%,17.4 sq mi,45.1 km2,"6,957/sq mi","2,686/km2",41.76°N 72.68°W
236,College Station,Texas,"120,511",Brazos,0.284,51.2 sq mi,132.6 km2,"2,354/sq mi",909/km2,30.58°N 96.29°W
237,Clovis,California,"120,124",Fresno,0.2561,25.4 sq mi,65.8 km2,"4,729/sq mi","1,826/km2",36.82°N 119.68°W
238,Fairfield,California,"119,881",Fairfield,0.1382,41.6 sq mi,107.7 km2,"2,882/sq mi","1,113/km2",38.25°N 122.03°W
239,Palm Bay,Florida,"119,760",Brevard,0.1606,86.4 sq mi,223.8 km2,"1,386/sq mi",535/km2,27.98°N 80.66°W
240,Richardson,Texas,"119,469",Richardson,0.204,28.6 sq mi,74.1 km2,"4,177/sq mi","1,613/km2",32.97°N 96.70°W
241,Round Rock,Texas,"119,468",Round Rock,0.196,37.6 sq mi,97.4 km2,"3,177/sq mi","1,227/km2",30.52°N 97.66°W
242,Cambridge,Massachusetts,"118,403",Middlesex,0.1259,6.4 sq mi,16.6 km2,"18,500/sq mi","7,100/km2",42.37°N 71.11°W
243,Meridian,Idaho,"117,635",Ada,0.5665,35.1 sq mi,90.9 km2,"3,351/sq mi","1,294/km2",43.61°N 116.39°W
244,West Palm Beach,Florida,"117,415",Palm Beach,0.1751,53.8 sq mi,139.3 km2,"2,182/sq mi",842/km2,26.74°N 80.12°W
245,Evansville,Indiana,"117,298",Vanderburgh,-0.11%,47.4 sq mi,122.8 km2,"2,475/sq mi",956/km2,37.98°N 87.53°W
246,Clearwater,Florida,"117,292",Pinellas,0.0892,26.1 sq mi,67.6 km2,"4,494/sq mi","1,735/km2",27.97°N 82.76°W
247,Billings,Montana,"117,116",Yellowstone,0.1243,44.8 sq mi,116.0 km2,"2,614/sq mi","1,009/km2",45.78°N 108.54°W
248,West Jordan,Utah,"116,961",Salt Lake,0.1277,32.3 sq mi,83.7 km2,"3,621/sq mi","1,398/km2",40.60°N 112.00°W
249,Richmond,California,"116,448",Contra Costa,0.1229,30.1 sq mi,78.0 km2,"3,869/sq mi","1,494/km2",37.95°N 122.36°W
250,Westminster,Colorado,"116,317",Westminster,0.0962,31.6 sq mi,81.8 km2,"3,681/sq mi","1,421/km2",39.88°N 105.06°W
251,Manchester,New Hampshire,"115,644",Hillsborough,0.0555,33.1 sq mi,85.7 km2,"3,494/sq mi","1,349/km2",42.98°N 71.44°W
252,Lowell,Massachusetts,"115,554",Middlesex,0.0848,13.6 sq mi,35.2 km2,"8,497/sq mi","3,281/km2",42.63°N 71.32°W
253,Wilmington,North Carolina,"115,451",New Hanover,0.0843,51.4 sq mi,133.1 km2,"2,246/sq mi",867/km2,34.20°N 77.88°W
254,Antioch,California,"115,291",Contra Costa,0.1262,29.2 sq mi,75.6 km2,"3,948/sq mi","1,524/km2",37.97°N 121.79°W
255,Beaumont,Texas,"115,282",Jefferson,-2.55%,82.5 sq mi,213.7 km2,"1,397/sq mi",539/km2,30.08°N 94.14°W
256,Provo,Utah,"115,162",Utah,0.0238,41.7 sq mi,108.0 km2,"2,762/sq mi","1,066/km2",40.24°N 111.64°W
257,North Charleston,South Carolina,"114,852",North Charleston,0.1783,77.6 sq mi,201.0 km2,"1,480/sq mi",570/km2,32.91°N 80.06°W
258,Elgin,Illinois,"114,797",Kane,0.0611,38.0 sq mi,98.4 km2,"3,021/sq mi","1,166/km2",42.03°N 88.32°W
259,Carlsbad,California,"114,746",San Diego,0.0894,37.8 sq mi,97.9 km2,"3,036/sq mi","1,172/km2",33.12°N 117.28°W
260,Odessa,Texas,"114,428",Odessa,0.145,51.1 sq mi,132.3 km2,"2,239/sq mi",864/km2,31.88°N 102.34°W
261,Waterbury,Connecticut,"114,403",New Haven,0.0366,28.5 sq mi,73.8 km2,"4,014/sq mi","1,550/km2",41.55°N 73.03°W
262,Springfield,Illinois,"114,394",Sangamon,-1.60%,61.1 sq mi,158.2 km2,"1,872/sq mi",723/km2,39.79°N 89.64°W
263,League City,Texas,"114,392",League City,0.369,51.3 sq mi,132.9 km2,"2,230/sq mi",860/km2,29.49°N 95.10°W
264,Downey,California,"114,355",Los Angeles,0.0231,12.4 sq mi,32.1 km2,"9,222/sq mi","3,561/km2",33.93°N 118.13°W
265,Gresham,Oregon,"114,247",Multnomah,0.0819,23.5 sq mi,60.9 km2,"4,862/sq mi","1,877/km2",45.50°N 122.44°W
266,High Point,North Carolina,"114,059",High Point,0.0928,56.4 sq mi,146.1 km2,"2,022/sq mi",781/km2,35.99°N 79.99°W
267,Broken Arrow,Oklahoma,"113,540",Tulsa,0.1486,63.0 sq mi,163.2 km2,"1,802/sq mi",696/km2,36.03°N 95.78°W
268,Peoria,Illinois,"113,150",Peoria,-1.61%,48.0 sq mi,124.3 km2,"2,357/sq mi",910/km2,40.75°N 89.61°W
269,Lansing,Michigan,"112,644",Lansing,-1.45%,39.1 sq mi,101.3 km2,"2,881/sq mi","1,112/km2",42.71°N 84.55°W
270,Lakeland,Florida,"112,641",Polk,0.1562,66.2 sq mi,171.5 km2,"1,702/sq mi",657/km2,28.05°N 81.95°W
271,Pompano Beach,Florida,"112,046",Broward,0.1222,24.0 sq mi,62.2 km2,"4,669/sq mi","1,803/km2",26.24°N 80.13°W
272,Costa Mesa,California,"111,918",Orange,0.0178,15.8 sq mi,40.9 km2,"7,083/sq mi","2,735/km2",33.66°N 117.91°W
273,Pueblo,Colorado,"111,876",Pueblo,0.0495,55.4 sq mi,143.5 km2,"2,019/sq mi",780/km2,38.26°N 104.61°W
274,Lewisville,Texas,"111,822",Denton,0.1735,37.0 sq mi,95.8 km2,"3,022/sq mi","1,167/km2",33.04°N 96.98°W
275,Miami Gardens,Florida,"111,640",Miami-Dade,0.0417,18.2 sq mi,47.1 km2,"6,134/sq mi","2,368/km2",25.94°N 80.24°W
276,Las Cruces,New Mexico,"111,385",Dona Ana,0.141,76.9 sq mi,199.2 km2,"1,448/sq mi",559/km2,32.32°N 106.78°W
277,Sugar Land,Texas,"111,026",Fort Bend,0.4087,40.5 sq mi,104.9 km2,"2,741/sq mi","1,058/km2",29.59°N 95.61°W
278,Murrieta,California,"110,949",Riverside,0.0723,33.6 sq mi,87.0 km2,"3,302/sq mi","1,275/km2",33.57°N 117.19°W
279,Ventura,California,"110,763",Ventura,0.0407,21.9 sq mi,56.7 km2,"5,058/sq mi","1,953/km2",34.26°N 119.25°W
280,Everett,Washington,"110,629",Snohomish,0.0739,33.2 sq mi,86.0 km2,"3,332/sq mi","1,286/km2",47.95°N 122.19°W
281,Temecula,California,"110,003",Riverside,0.099,37.3 sq mi,96.6 km2,"2,949/sq mi","1,139/km2",33.49°N 117.13°W
282,Dearborn,Michigan,"109,976",Wayne,0.1205,24.2 sq mi,62.7 km2,"4,544/sq mi","1,754/km2",42.31°N 83.21°W
283,Santa Maria,California,"109,707",Santa Barbara,0.102,22.8 sq mi,59.1 km2,"4,812/sq mi","1,858/km2",34.93°N 120.44°W
284,West Covina,California,"109,501",Los Angeles,0.0321,16.0 sq mi,41.4 km2,"6,844/sq mi","2,642/km2",34.05°N 117.90°W
285,El Monte,California,"109,450",Los Angeles,-3.55%,9.6 sq mi,24.9 km2,"11,401/sq mi","4,402/km2",34.07°N 118.02°W
286,Greeley,Colorado,"108,795",Weld,0.1712,48.9 sq mi,126.7 km2,"2,225/sq mi",859/km2,40.41°N 104.76°W
287,Sparks,Nevada,"108,445",Washoe,0.2014,36.4 sq mi,94.3 km2,"2,979/sq mi","1,150/km2",39.55°N 119.73°W
288,Centennial,Colorado,"108,418",Arapahoe,0.0801,29.7 sq mi,76.9 km2,"3,650/sq mi","1,410/km2",39.59°N 104.86°W
289,Boulder,Colorado,"108,250",Boulder,0.1116,26.3 sq mi,68.1 km2,"4,116/sq mi","1,589/km2",40.02°N 105.25°W
290,Sandy Springs,Georgia,"108,080",Fulton,0.1516,37.7 sq mi,97.6 km2,"2,867/sq mi","1,107/km2",33.93°N 84.36°W
291,Inglewood,California,"107,762",Los Angeles,-1.74%,9.1 sq mi,23.6 km2,"11,842/sq mi","4,572/km2",33.95°N 118.34°W
292,Edison,New Jersey,"107,588",Middlesex,0.0762,30.1 sq mi,78.0 km2,"3,574/sq mi","1,380/km2",40.52°N 74.41°W
293,South Fulton,Georgia,"107,436",Fulton,0.0762,85.2 sq mi,220.7 km2,"1,261/sq mi",487/km2,33.59°N 84.67°W
294,Green Bay,Wisconsin,"107,395",Brown,0.0321,45.5 sq mi,117.8 km2,"2,360/sq mi",910/km2,44.52°N 87.98°W
295,Burbank,California,"107,337",Los Angeles,0.0387,17.3 sq mi,44.8 km2,"6,204/sq mi","2,395/km2",34.19°N 118.32°W
296,Renton,Washington,"106,785",King,0.1744,23.5 sq mi,60.9 km2,"4,544/sq mi","1,754/km2",47.47°N 122.19°W
297,Hillsboro,Oregon,"106,447",Washington,0.1619,25.7 sq mi,66.6 km2,"4,142/sq mi","1,599/km2",45.52°N 122.93°W
298,El Cajon,California,"106,215",San Diego,0.0677,14.5 sq mi,37.6 km2,"7,325/sq mi","2,828/km2",32.80°N 116.96°W
299,Tyler,Texas,"105,995",Smith,0.0939,57.5 sq mi,148.9 km2,"1,843/sq mi",712/km2,32.31°N 95.30°W
300,Davie,Florida,"105,691",Broward,0.1489,34.9 sq mi,90.4 km2,"3,028/sq mi","1,169/km2",26.07°N 80.28°W
301,San Mateo,California,"105,661",San Mateo,0.087,12.1 sq mi,31.3 km2,"8,732/sq mi","3,371/km2",37.56°N 122.31°W
302,Brockton,Massachusetts,"105,643",Plymouth,0.1261,21.3 sq mi,55.2 km2,"4,960/sq mi","1,920/km2",42.08°N 71.02°W
303,Concord,North Carolina,"105,240",Cabarrus,0.331,63.5 sq mi,164.5 km2,"1,657/sq mi",640/km2,35.40°N 80.60°W
304,Jurupa Valley,California,"105,053",Riverside,0.1148,42.9 sq mi,111.1 km2,"2,449/sq mi",946/km2,34.00°N 117.46°W
305,Daly City,California,"104,901",San Mateo,0.0374,7.6 sq mi,19.7 km2,"13,803/sq mi","5,329/km2",37.70°N 122.46°W
306,Allen,Texas,"104,627",Collin,0.2419,26.4 sq mi,68.4 km2,"3,963/sq mi","1,530/km2",33.09°N 96.66°W
307,Rio Rancho,New Mexico,"104,046",Sandoval,0.1888,103.4 sq mi,267.8 km2,"1,006/sq mi",388/km2,35.29°N 106.67°W
308,Rialto,California,"104,026",San Bernardino,0.049,24.1 sq mi,62.4 km2,"4,316/sq mi","1,666/km2",34.11°N 117.38°W
309,Woodbridge,New Jersey,"103,639",Middlesex,0.0407,23.3 sq mi,60.3 km2,"4,448/sq mi","1,717/km2",40.56°N 74.28°W
310,South Bend,Indiana,"103,453",St. Joseph,0.0226,42.0 sq mi,108.8 km2,"2,463/sq mi",951/km2,41.67°N 86.26°W
311,Spokane Valley,Washington,"102,976",Spokane,0.1473,37.7 sq mi,97.6 km2,"2,731/sq mi","1,054/km2",47.67°N 117.23°W
312,Norwalk,California,"102,773",Los Angeles,-2.63%,9.7 sq mi,25.1 km2,"10,595/sq mi","4,091/km2",33.90°N 118.08°W
313,Menifee,California,"102,527",Riverside,0.3226,46.5 sq mi,120.4 km2,"2,205/sq mi",851/km2,33.69°N 117.19°W
314,Vacaville,California,"102,386",Solano,0.1077,29.9 sq mi,77.4 km2,"3,424/sq mi","1,322/km2",38.35°N 121.97°W
315,Wichita Falls,Texas,"102,316",Wichita,-2.14%,72.0 sq mi,186.5 km2,"1,421/sq mi",549/km2,33.90°N 98.52°W
316,Davenport,Iowa,"101,724",Polk,0.0205,63.8 sq mi,165.2 km2,"1,594/sq mi",615/km2,41.55°N 90.60°W
317,Quincy,Massachusetts,"101,636",Norfolk,0.1015,16.6 sq mi,43.0 km2,"6,123/sq mi","2,364/km2",42.25°N 71.00°W
318,Chico,California,"101,475",Butte,0.1774,34.1 sq mi,88.3 km2,"2,976/sq mi","1,149/km2",39.74°N 121.83°W
319,Lynn,Massachusetts,"101,253",Essex,0.1209,10.7 sq mi,27.7 km2,"9,463/sq mi","3,654/km2",42.47°N 70.95°W
320,Lee's Summit,Missouri,"101,108",Jackson,0.1067,63.9 sq mi,165.5 km2,"1,582/sq mi",611/km2,38.92°N 94.37°W
321,New Bedford,Massachusetts,"101,079",Bristol,0.0632,20.0 sq mi,51.8 km2,"5,054/sq mi","1,951/km2",41.64°N 70.93°W
322,Federal Way,Washington,"101,030",King,0.1313,22.3 sq mi,57.8 km2,"4,530/sq mi","1,750/km2",47.32°N 122.35°W
323,Clinton,Michigan,"100,513",Lenawee,0.0384,28.1 sq mi,72.8 km2,"3,577/sq mi","1,381/km2",42.59°N 82.92°W
324,Edinburg,Texas,"100,243",Hidalgo,0.3002,44.7 sq mi,115.8 km2,"2,243/sq mi",866/km2,26.30°N 98.16°W
325,Nampa,Idaho,"100,200",Canyon,0.2286,33.5 sq mi,86.8 km2,"2,991/sq mi","1,155/km2",43.57°N 116.56°W
326,Roanoke,Virginia,"100,011",Roanoke,0.0307,42.5 sq mi,110.1 km2,"2,353/sq mi",908/km2,37.27°N 79.93°W